"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"1.0";"1.0";"-34.90516916601468";"-8.077321416354998";135.9733653240939;128.30532335965498;101.83558598641432;128.30532219601804;140.8473344063526;137.62840658376612
"1.0";"2.0";"-34.90471549804403";"-8.077321416354998";135.47358995366986;127.40673512207732;104.64874167886342;127.40673390817224;140.45221533527243;137.2693608399746
"1.0";"3.0";"-34.904261830073374";"-8.077321416354998";134.9686072747624;126.46849596219823;107.15346409692572;126.46849469358939;140.0537807027153;136.91407047164088
"1.0";"4.0";"-34.90380816210272";"-8.077321416354998";134.4588781331285;125.48703246429598;109.40576318131232;125.48703113595073;139.65224443713416;136.56337410374
"1.0";"5.0";"-34.90335449413207";"-8.077321416354998";133.9449651491832;124.45828023738433;111.44906250804142;124.45827884356476;139.2478581515741;136.21817694929544
"1.0";"6.0";"-34.902900826161414";"-8.077321416354998";133.42754737858337;123.377593318256;113.31717936585281;123.3775918523866;138.8409154641941;135.87945100954244
"1.0";"7.0";"-34.90244715819076";"-8.077321416354998";132.90743639727845;122.23963290180555;115.03672620668026;122.2396313563101;138.43175667385032;135.54823412040088
"1.0";"8.0";"-34.90199349022011";"-8.077321416354998";132.38559372294816;121.03823002154331;116.62890431216908;121.03822838764324;138.02077378545687;135.22562761929254
"1.0";"9.0";"-34.901539822249454";"-8.077321416354998";131.86314937785;119.76621542743786;118.11081545078419;119.76621369490206;137.6084158674886;134.91279240332065
"1.0";"10.0";"-34.9010861542788";"-8.077321416354998";131.34142125381456;118.41520838164615;119.49641982795181;118.4152065384804;137.1951947078683;134.6109431584395
"1.0";"11.0";"-34.90063248630815";"-8.077321416354998";130.82193475192847;116.97535472023817;120.79724056518009;116.97535275230062;136.78169071392557;134.32134056270283
"1.0";"12.0";"-34.900178818337494";"-8.077321416354998";130.30644193240065;115.43500416461555;122.02288716527082;115.43500205514586;136.36855897645634;134.04528130802404
"1.0";"13.0";"-34.89972515036684";"-8.077321416354998";129.7969391228654;113.78031968824828;123.18144902383342;113.78031741730575;135.95653538656708;133.78408584652152
"1.0";"14.0";"-34.89927148239619";"-8.077321416354998";123.51459916785033;92.60579238995092;120.72746785030488;125.6762378807681;131.77581868425807;137.115838617629
