"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.075004;-34.900188;130.69;125.24000000000001;124.94;133.24;140.64;139.09;"(18,1)";"(90,1)";"(179,1)";-8.069528363873307;-34.90537331703911;0.8348641176187037;179;1
-8.074515;-34.900288;120.6233333333333;112.52333333333331;117.99000000000001;120.7566666666667;139.09;138.6566666666667;"(7,12)";"(32,57)";"(63,114)";-8.074738704437433;-34.900246901467305;0.025290101554392676;63;114
-8.066756;-34.892712;133.39;123.0233333333333;125.9233333333333;130.82333333333332;120.15666666666671;100.1566666666667;"(30,26)";"(152,119)";"(304,238)";-8.06391377274817;-34.894621743211744;0.379697189154934;304;238
-8.067628;-34.8923;128.6233333333333;126.79;126.9233333333333;110.99000000000001;115.69;112.19;"(23,29)";"(108,145)";"(215,289)";-8.067911361629267;-34.89230798392592;0.03152953920742889;215;289
-8.065421;-34.886696;128.75666666666672;129.4566666666666;131.6566666666667;128.59;120.6233333333333;128.09;"(28,43)";"(136,208)";"(271,415)";-8.065396024805207;-34.886592017647246;0.011783300341963395;271;415
-8.074041;-34.900433;122.3566666666667;124.65666666666671;118.52333333333331;124.69;142.79000000000002;138.4233333333333;"(9,11)";"(42,55)";"(83,109)";-8.073840369857411;-34.90047374495066;0.02276199101650936;83;109
-8.072634;-34.890709;94.09;120.69;117.9566666666667;107.19;107.35666666666671;131.19;"(12,31)";"(55,163)";"(110,325)";-8.072627618174382;-34.89067464545613;0.0038492800684573367;110;325
-8.074771;-34.890739;118.7233333333333;128.5566666666667;130.09;98.9566666666667;128.59;146.4233333333333;"(7,33)";"(33,168)";"(66,335)";-8.07460395425043;-34.89022090850817;0.06000319961746898;66;335
-8.069557;-34.890774;108.89;130.99;118.84;113.09;105.44;112.34;"(18,33)";"(89,162)";"(178,324)";-8.069573280602308;-34.89072012266812;0.006203424490906803;178;324
-8.071995;-34.892029;106.59;114.4566666666667;117.09;98.52333333333331;106.52333333333331;132.0566666666667;"(12,30)";"(57,145)";"(113,288)";-8.072492867987378;-34.892353201789206;0.06588758003763683;113;288
-8.076407;-34.895988;126.49000000000001;107.44;133.14;121.29;131.84;134.54000000000002;"(4,21)";"(14,104)";"(26,208)";-8.076400623410473;-34.89598241107837;0.0009390585827723705;26;208
-8.068151;-34.890205;128.35666666666668;134.1566666666667;133.49;118.52333333333331;102.99000000000001;128.75666666666672;"(19,35)";"(91,175)";"(182,350)";-8.069393613686303;-34.88954061561809;0.15638277646877746;182;350
-8.068561;-34.889427;123.2566666666667;134.49;134.59;115.52333333333331;107.8233333333333;131.32333333333332;"(20,35)";"(100,175)";"(200,350)";-8.068585112564284;-34.889540647337874;0.012799580387241802;200;350
-8.072596;-34.891182;101.09;128.59;120.89;113.6233333333333;109.19;132.9233333333333;"(11,33)";"(55,163)";"(110,325)";-8.072627618174382;-34.89067464545613;0.05598257728409404;110;325
-8.069521;-34.890854;117.34;131.59;126.34;116.24000000000001;104.44;108.79;"(23,29)";"(114,144)";"(227,288)";-8.067372360881254;-34.89235336705666;0.29047892727595437;227;288
-8.062787;-34.897289;131.79000000000002;105.09;125.65666666666671;105.7566666666667;128.49;115.99000000000001;"(33,18)";"(164,90)";"(328,179)";-8.062835771252145;-34.897298317008655;0.005520832407063014;328;179
-8.075634;-34.89344;117.94;122.39;123.64;107.04;125.34;135.04000000000002;"(5,28)";"(24,138)";"(47,276)";-8.07545737210145;-34.89289750510852;0.06288866813124643;47;276
-8.064446;-34.889416;127.4233333333333;132.6566666666667;130.5566666666667;131.85666666666668;126.09;137.72333333333341;"(30,36)";"(158,183)";"(319,368)";-8.063240021813154;-34.88872428306134;0.15425776828396562;319;368
-8.065564;-34.896988;118.69;99.99000000000001;116.14;103.04;125.84;95.49000000000001;"(26,19)";"(119,95)";"(238,190)";-8.066878276862242;-34.89679921418526;0.14765321217624236;238;190
-8.070457;-34.900906;120.69;132.39;123.1233333333333;129.4233333333333;137.6233333333333;133.1233333333333;"(16,10)";"(78,50)";"(155,100)";-8.070606365369333;-34.90088207873949;0.016820924833867074;155;100
-8.061328;-34.903706;136.0566666666667;113.7233333333333;132.1233333333333;130.82333333333332;130.6233333333333;131.0566666666667;"(37,2)";"(188,2)";"(376,4)";-8.060679768260092;-34.9052372227484;0.18339679517544508;376;4
-8.062281;-34.887882;139.7233333333333;127.3566666666667;138.6233333333333;140.75666666666672;141.4566666666666;145.19;"(34,39)";"(169,195)";"(338,389)";-8.062386603962134;-34.88777165070813;0.01690114931494376;338;389
-8.069479;-34.895813;98.94;127.19;120.29;108.39;113.99000000000001;121.64;"(16,29)";"(76,144)";"(152,287)";-8.070741115556336;-34.892398624398275;0.4013582620087746;152;287
-8.068197;-34.890114;125.99000000000001;134.32333333333332;131.9233333333333;120.9233333333333;100.5566666666667;122.19;"(22,33)";"(106,164)";"(212,328)";-8.06804611181627;-34.89053871510031;0.04969178440930082;212;328
-8.069509;-34.890896;124.79;132.69;127.89;122.14;113.29;126.49000000000001;"(19,39)";"(93,191)";"(185,382)";-8.0692588634993;-34.88808891237571;0.31038017326843864;185;382
-8.065737;-34.896965;121.8566666666667;108.5566666666667;119.69;101.79;124.79;94.9566666666667;"(26,19)";"(123,95)";"(246,189)";-8.066518943030234;-34.896844587410556;0.08797776081404236;246;189
-8.066364;-34.893528;119.39;122.59;131.69;124.24000000000001;120.64;106.84;"(25,27)";"(131,130)";"(262,260)";-8.065800275366216;-34.893623651870456;0.06357970634486822;262;260
-8.073929;-34.900459;125.215;118.89;122.64;125.89;144.715;139.515;"(8,11)";"(40,55)";"(80,110)";-8.073975120044414;-34.90042837688744;0.006138983269702655;80;110
-8.067348;-34.896751;115.49000000000001;103.49000000000001;111.39;91.74000000000001;121.64;97.34;"(23,20)";"(119,95)";"(238,190)";-8.066878276862242;-34.89679921418526;0.052514696900854536;238;190
-8.068571;-34.891151;121.3566666666667;126.1233333333333;120.8566666666667;118.99000000000001;102.69;104.7566666666667;"(23,29)";"(114,144)";"(227,288)";-8.067372360881254;-34.89235336705666;0.18790161896341132;227;288
-8.069223;-34.888103;125.59;133.04000000000002;130.49;131.54000000000002;110.34;133.115;"(19,39)";"(93,191)";"(185,382)";-8.0692588634993;-34.88808891237571;0.00428003436269863;185;382
-8.075498;-34.896271;123.2233333333333;115.89;132.39;123.15666666666671;127.29;133.89;"(5,21)";"(23,101)";"(47,201)";-8.07545737210145;-34.89629999918061;0.005533422033631653;47;201
-8.069537;-34.890816;107.8233333333333;134.0566666666667;123.79;107.9233333333333;102.29;105.2566666666667;"(18,33)";"(89,162)";"(179,321)";-8.069528363873307;-34.89085622206551;0.004532412841395173;179;321
-8.067353;-34.900879;106.19;107.09;117.02333333333331;105.02333333333331;113.69;114.79;"(13,23)";"(63,115)";"(126,229)";-8.071908950510364;-34.89502982579583;0.8195754474315157;126;229
-8.07211;-34.894859;86.79;107.1233333333333;108.59;89.7233333333333;105.7566666666667;120.9233333333333;"(12,24)";"(60,118)";"(119,235)";-8.072223367613372;-34.8947576203819;0.016841661269087104;119;235
